id,price
100000,4317396.907972118
100001,9376222.421841178
100002,2831498.0561920563
100003,8263337.179720436
100004,1627662.0086453632
100005,2148857.1352934623
100006,5738948.048576113
100007,3473657.0012082327
100008,2641770.699077356
100009,5218011.705039221
100010,6151330.250601445
100011,5922905.148688275
100012,3556458.93174136
100013,2861627.4079573094
100014,3071060.155510815
100015,6605991.55246989
100016,3142583.3246805416
100017,8629516.513424477
100018,2496807.984790467
100019,10674372.230732227
100020,9979288.284454074
100021,2648722.383302907
100022,2150762.225192017
100023,5019246.261905312
100024,3648192.028873226
100025,3970819.3449019385
100026,8041430.869422444
100027,2908696.5411762297
100028,5987566.880804135
100029,3077933.72642409
100030,1297582.1101861182
100031,2975703.033731741
100032,4408477.1329168035
100033,3832678.3091396806
100034,2279036.5230581583
100035,3582208.031354129
100036,1321031.563326899
100037,2379310.0429029204
100038,3301025.4159990824
100039,22679357.869783144
100040,5531672.739182897
100041,3943920.4463024954
100042,3778899.359744117
100043,9248110.230854947
100044,1760166.487972843
100045,578099.0129421388
100046,5135812.598214936
100047,3535972.64552218
100048,5521936.856282444
100049,5684878.362890472
100050,2325390.6418984868
100051,3762904.0460237754
100052,16895425.02204228
100053,6355467.807979026
100054,9101737.603453038
100055,4883656.517316659
100056,1847690.130986794
100057,7210372.531452146
100058,13625580.155722449
100059,2556485.4825590667
100060,9101475.418113181
100061,2137226.6026511253
100062,3124033.0758755235
100063,6088221.798331499
100064,3640173.7795651937
100065,943658.5240308854
100066,9629828.940866278
100067,8462918.17442714
100068,4473461.145926978
100069,5114964.898253652
100070,4254789.047332583
100071,8463533.993695969
100072,4562680.988876582
100073,2807036.2617678307
100074,2062086.414938616
100075,2252202.1145556103
100076,5591635.814661087
100077,14760953.683242965
100078,1451090.1556417535
100079,7303387.810771642
100080,3899069.583244828
100081,3002865.734462264
100082,6168929.7062031515
100083,1690110.9743388486
100084,5019751.116149267
100085,8174575.224369493
100086,4916791.342382899
100087,6651535.708600325
100088,3747404.9102753294
100089,2904319.381929369
100090,4020969.261621717
100091,3507333.988759699
100092,4797051.70901574
100093,3454457.0030625276
100094,10272004.833587402
100095,4896059.643434055
100096,1111954.2459831964
100097,10858414.932721745
100098,8371871.877176507
100099,6087491.712133388
100100,1896270.1372964575
100101,2548059.8165801847
100102,4749068.751469569
100103,3754065.5701264217
100104,14028518.802514154
100105,5726462.109916486
100106,2393399.2484804066
100107,4495892.23268031
100108,12450197.37769464
100109,2392729.1799720707
100110,5812818.783555087
100111,3104924.814591644
100112,5385815.894257932
100113,9133747.732365036
100114,2731457.0772317275
100115,12504090.02728543
100116,1831351.1822441318
100117,7699334.411112072
100118,5326669.239441432
100119,3027080.768455738
100120,5196265.62057859
100121,5647221.491933786
100122,5151023.383769564
100123,4883439.5154952565
100124,7709939.815355659
100125,2627925.329202453
100126,1856346.7235996067
100127,3375348.5316383447
100128,1645202.7925792378
100129,8431046.695889587
100130,2109027.5382984583
100131,9178362.621731305
100132,3227847.1118752314
100133,8144558.016787606
100134,10073446.564106464
100135,6146637.247263324
100136,4910644.33529175
100137,4728831.621668237
100138,2139146.0473032068
100139,12485995.117568702
100140,5646996.074480852
100141,3779810.980664295
100142,5946190.002591384
100143,2669300.7185837673
100144,4370830.893017451
100145,6453326.679533914
100146,2747123.765446047
100147,2777418.3389915843
100148,5281885.3985164855
100149,2205866.230573884
100150,3271126.671749965
100151,10188569.674407272
100152,4056915.793490078
100153,2592616.7973136776
100154,3753070.199579146
100155,6772063.376558956
100156,3586372.733783932
100157,4638660.863250543
100158,2683004.3560689166
100159,2247050.5629780823
100160,4884075.613448146
100161,2949969.596716763
100162,4832213.121127461
100163,4374522.5317160385
100164,2335609.045773531
100165,1796675.8186602273
100166,825487.7645482606
100167,2793104.6890178095
100168,3324476.7649380057
100169,6989222.117205627
100170,3070995.757695658
100171,2153662.831101982
100172,2404624.066438535
100173,7983013.966053471
100174,2613352.5170712126
100175,4181909.796519816
100176,10272900.471101843
100177,10621482.751866654
100178,11050986.044077069
100179,3046398.874391508
100180,2943091.4316950194
100181,10083064.254473722
100182,2845335.6903166305
100183,11762124.145460747
100184,2921883.3041398
100185,4731094.182193438
100186,2277466.0313658593
100187,8519180.258477362
100188,5012436.013100871
100189,6814432.050476124
100190,3898357.26708983
100191,6020975.00209122
100192,4965476.0462707905
100193,2619117.532968444
100194,1905248.6540556937
100195,7048777.098076628
100196,7452405.45940482
100197,4382764.239213665
100198,1368611.5832250987
100199,2463460.793751939
100200,15136315.478688726
100201,3344094.065579756
100202,8275288.692581229
100203,6176233.774319792
100204,3979656.5944637284
100205,1018937.1544448183
100206,4224714.260096395
100207,7274394.279384934
100208,13977774.053562589
100209,4219744.407255033
100210,4655534.002343116
100211,10049428.762254091
100212,2266399.7931194096
100213,3818296.899964014
100214,6356658.72301067
100215,4580199.492334037
100216,7611838.413678475
100217,2706258.2667377004
100218,33775570.977453515
100219,14621496.156680135
100220,3497710.0950234463
100221,4521847.006748895
100222,3387430.5312481564
100223,4028078.8967819214
100224,26996889.720873814
100225,3755098.7131513106
100226,2330264.181561379
100227,7397455.141201784
100228,4099380.78109696
100229,3621645.8859702605
100230,3382459.178361463
100231,9014136.04901452
100232,3525168.367489433
100233,4306956.65224029
100234,3588865.9922837536
100235,2480362.031397354
100236,9918755.950467808
100237,13876464.250718309
100238,10279809.981329221
100239,8271895.192445701
100240,6053410.222359996
100241,5943827.386341134
100242,2786459.3323016535
100243,3782130.54191602
100244,5991131.925746027
100245,4749093.174961346
100246,6802911.4617027845
100247,5063373.829820853
100248,4559462.813871619
100249,10767926.010538418
100250,1793525.291502105
100251,2813735.4868315984
100252,4494738.110604712
100253,7216973.585300848
100254,2807043.3585125995
100255,20145335.248784147
100256,4633690.231624222
100257,8206652.738805787
100258,2873105.1544803795
100259,1844170.5951992678
100260,5057122.428627749
100261,5286283.36320339
100262,7072543.610825811
100263,7666651.055207938
100264,6719778.045079492
100265,2343043.8651064495
100266,2996010.0909155607
100267,3787571.5372919836
100268,7966672.914241901
100269,2191729.7676990284
100270,5462040.67590564
100271,4321609.918677369
100272,1504009.2936851087
100273,32478985.68935928
100274,5651418.981107381
100275,7855399.4139179895
100276,2830212.240061113
100277,4254808.321114611
100278,23228495.337025855
100279,11311882.005062293
